Mothernet,,,,,,,,,,
class lable,age range,Number of samples in training set,,,,,,,,
0,0-22,487,,,,,,,,
1,23-28,516,,,,,,,,
2,29-38,513,,,,,,,,
3,39-69,487,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
C1-net,,,,,,,C4-net,,,
class lable,ages,Number of samples in training set,Samples per class after downsampling,,,,class lable,ages,Number of samples in training set,Samples per class after downsampling
0,3,2,42,,,,0,33-36,138,60
,4,1,,,,,1,38,39,74
,5,1,,,,,,39,35,
,6,2,,,,,2,40,25,56
,7,4,,,,,,41,31,
,8,4,,,,,3,42,31,68
,9,7,,,,,,43,15,
,10,2,,,,,,44,22,
,11,3,,,,,4,45,20,65
,12,7,,,,,,46,20,
,13,9,,,,,,47,25,
1,14,13,35,,,,5,48,23,64
,15,22,,,,,,49,20,
2,16,35,35,,,,,50,21,
3,17,40,40,,,,6,51,20,58
4,18,55,55,,,,,52,23,
5,19,49,49,,,,,53,15,
6,20,64,64,,,,7,54,21,72
7,21,100,60,,,,,55,13,
8,22,67,67,,,,,56,17,
9,23-25,270,66,,,,,57,21,
,,,,,,,8,58,12,69
C2-net,,,,,,,,59,13,
class lable,ages,Number of samples in training set,Samples per class after downsampling,,,,,60,7,
0,18-20,168,90,,,,,61,7,
1,23,91,91,,,,,62,8,
2,24,97,97,,,,,63,10,
3,25,82,82,,,,,65,3,
4,26,71,71,,,,,66,4,
5,27,84,84,,,,,67,2,
6,28,91,91,,,,,68,2,
7,29,76,76,,,,,69,1,
8,32-34,143,90,,,,,,,
,,,,,,,,,,
C3-net,,,,,,,,,,
class lable,ages,Number of samples in training set,Samples per class after downsampling,,,,,,,
0,26-28,246,60,,,,,,,
2,30,58,58,,,,,,,
3,31,62,62,,,,,,,
4,32,45,45,,,,,,,
5,33,52,52,,,,,,,
6,34,46,46,,,,,,,
7,35,40,40,,,,,,,
8,36,41,41,,,,,,,
9,37,54,54,,,,,,,
11,39-46,199,60,,,,,,,
